Age (kyr),IRM@0.9 AF 120mT (A/m)
157.80,0.239
158.05,0.243
158.30,0.248
158.55,0.252
158.81,0.255
159.06,0.256
159.31,0.255
159.56,0.253
159.81,0.251
160.07,0.248
160.35,0.247
160.63,0.246
160.92,0.242
161.20,0.233
161.48,0.219
161.76,0.203
162.05,0.187
162.33,0.175
162.61,0.165
162.90,0.156
163.18,0.148
163.46,0.138
163.75,0.129
164.03,0.12
164.31,0.113
164.60,0.105
164.88,0.0962
165.16,0.0865
165.42,
165.68,
165.94,
166.19,
166.45,
166.71,
166.97,
167.23,0.0705
167.48,0.0872
167.74,0.102
168.00,0.111
168.26,0.113
168.52,0.107
168.77,0.0955
169.03,0.0809
169.29,0.0679
169.55,0.0595
169.81,0.0552
170.06,0.054
170.32,0.054
170.58,0.0539
170.84,0.0528
171.10,0.0512
171.35,0.0496
171.61,0.0487
171.87,0.0485
172.10,0.049
172.30,0.0496
172.49,0.0499
172.69,0.0495
172.89,0.0492
173.09,0.0495
173.28,0.0498
173.48,0.0501
173.68,0.0506
173.88,0.0522
174.07,0.0568
174.27,0.0657
174.47,0.0798
174.67,0.1
174.86,0.13
175.06,0.166
175.26,0.202
175.45,0.228
175.65,0.236
175.85,0.227
176.05,0.214
176.24,0.199
176.44,0.18
176.64,0.153
176.84,0.13
177.03,0.118
177.23,0.117
177.43,0.123
177.63,0.131
177.82,0.136
178.02,0.136
178.22,0.128
178.42,0.116
178.61,0.105
178.81,0.0987
179.01,0.0982
179.21,0.102
179.41,0.106
179.61,0.111
179.81,0.114
180.01,0.117
180.21,0.122
180.41,0.13
180.61,0.142
180.81,0.156
181.02,0.172
181.22,0.187
181.42,0.198
181.62,0.208
181.82,0.217
182.02,0.227
182.22,0.238
182.42,0.251
182.62,0.263
182.82,0.274
183.02,0.28
183.22,0.281
183.42,0.278
183.62,0.273
183.82,0.269
184.03,0.269
184.23,0.276
184.43,0.288
184.63,0.304
184.83,0.323
185.03,0.338
185.23,0.351
185.43,0.361
185.63,0.37
185.83,0.378
186.03,0.383
186.23,0.385
186.43,0.384
186.63,0.385
186.83,0.39
187.04,0.399
187.24,0.412
187.44,0.423
187.64,0.434
187.84,0.44
188.04,0.444
188.24,0.447
188.44,0.452
188.64,0.461
188.84,0.472
189.04,0.485
189.24,0.497
189.44,0.509
